INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/C_testbenches/Scheduler_head_helpers_tb.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Scheduler_head_helpers.cpp in debug mode
   Generating csim.exe
cycle |reset|rsrc_reset |comp_rdy|comp_done |cmp_start |cmp_op  |group_done|comp_busy   |req       |grant     |granting|head0_phase |head1_phase 
0     |1    |1          |1       |-         |-         |        |-         |-           |[1, 1]      |[-, -]      |-       |Q           |Q           
1     |-    |-          |1       |-         |1         |Q       |-         |1           |[-, 1]      |[1, -]      |1       |Q           |Q           
2     |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |Q           |Q           
3     |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |Q           |Q           
4     |-    |-          |-       |1         |-         |        |-         |-           |[-, 1]      |[-, -]      |-       |K           |Q           
5     |-    |-          |1       |-         |1         |Q       |-         |1           |[1, -]      |[-, 1]      |1       |K           |Q           
6     |-    |-          |-       |-         |-         |        |-         |1           |[1, -]      |[-, 1]      |1       |K           |Q           
7     |-    |-          |-       |-         |-         |        |-         |1           |[1, -]      |[-, 1]      |1       |K           |Q           
8     |-    |-          |-       |1         |-         |        |-         |-           |[1, -]      |[-, -]      |-       |K           |K           
9     |-    |-          |1       |-         |1         |K       |-         |1           |[-, 1]      |[1, -]      |1       |K           |K           
10    |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |K           |K           
11    |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |K           |K           
12    |-    |-          |-       |1         |-         |        |-         |-           |[-, 1]      |[-, -]      |-       |K_RQ        |K           
13    |-    |-          |1       |-         |1         |K       |-         |1           |[-, -]      |[-, 1]      |1       |K_WB        |K           
14    |-    |-          |-       |-         |-         |        |-         |1           |[-, -]      |[-, 1]      |1       |V           |K           
15    |-    |-          |-       |-         |-         |        |-         |1           |[1, -]      |[-, 1]      |1       |V           |K           
16    |-    |-          |-       |1         |-         |        |-         |-           |[1, -]      |[-, -]      |-       |V           |K_RQ        
17    |-    |-          |1       |-         |1         |V       |-         |1           |[-, -]      |[1, -]      |1       |V           |K_WB        
18    |-    |-          |-       |-         |-         |        |-         |1           |[-, -]      |[1, -]      |1       |V           |V           
19    |-    |-          |-       |-         |-         |        |-         |1           |[-, 1]      |[1, -]      |1       |V           |V           
20    |-    |-          |-       |1         |-         |        |-         |-           |[-, 1]      |[-, -]      |-       |V_RQ        |V           
21    |-    |-          |1       |-         |1         |V       |-         |1           |[-, -]      |[-, 1]      |1       |V_WB        |V           
