INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/drive_head_phase_tb.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_head_helpers/simple_head_helpers.cpp in debug mode
   Generating csim.exe
cycle |h0_phase    |hstrt|rdy |done|start |op    |h1_phase    |hstrt|rdy |done|start |op    |h2_phase    |hstrt|rdy |done|start |op    |h3_phase    |hstrt|rdy |done|start |op    |h4_phase    |hstrt|rdy |done|start |op    |h5_phase    |hstrt|rdy |done|start |op    |h6_phase    |hstrt|rdy |done|start |op    |h7_phase    |hstrt|rdy |done|start |op    
0     |Q           |1   |-   |-   |-     |-     |Q           |1   |-   |-   |-     |-     |Q           |1   |-   |-   |-     |-     |Q           |1   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
1     |Q           |-   |1   |-   |1     |Q     |Q           |-   |1   |-   |1     |Q     |Q           |-   |1   |-   |1     |Q     |Q           |-   |1   |-   |1     |Q     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
2     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
3     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |Q           |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
4     |K           |-   |-   |1   |-     |-     |K           |-   |-   |1   |-     |-     |K           |-   |-   |1   |-     |-     |K           |-   |-   |1   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
5     |K           |-   |1   |-   |1     |K     |K           |-   |1   |-   |1     |K     |K           |-   |1   |-   |1     |K     |K           |-   |1   |-   |1     |K     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
6     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
7     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |K           |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
8     |K_RQ        |-   |-   |1   |-     |-     |K_RQ        |-   |-   |1   |-     |-     |K_RQ        |-   |-   |1   |-     |-     |K_RQ        |-   |-   |1   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
9     |K_WB        |-   |1   |-   |-     |-     |K_WB        |-   |1   |-   |-     |-     |K_WB        |-   |1   |-   |-     |-     |K_WB        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
10    |V           |-   |1   |-   |-     |-     |V           |-   |1   |-   |-     |-     |V           |-   |1   |-   |-     |-     |V           |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
11    |V           |-   |1   |-   |1     |V     |V           |-   |1   |-   |1     |V     |V           |-   |1   |-   |1     |V     |V           |-   |1   |-   |1     |V     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
12    |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
13    |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |V           |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
14    |V_RQ        |-   |-   |1   |-     |-     |V_RQ        |-   |-   |1   |-     |-     |V_RQ        |-   |-   |1   |-     |-     |V_RQ        |-   |-   |1   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
15    |V_WB        |-   |1   |-   |-     |-     |V_WB        |-   |1   |-   |-     |-     |V_WB        |-   |1   |-   |-     |-     |V_WB        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
16    |RQ_Q        |-   |1   |-   |-     |-     |RQ_Q        |-   |1   |-   |-     |-     |RQ_Q        |-   |1   |-   |-     |-     |RQ_Q        |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
17    |ATT_SCO     |-   |1   |-   |-     |-     |ATT_SCO     |-   |1   |-   |-     |-     |ATT_SCO     |-   |1   |-   |-     |-     |ATT_SCO     |-   |1   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
18    |ATT_SCO     |-   |1   |-   |1     |SCO   |ATT_SCO     |-   |1   |-   |1     |SCO   |ATT_SCO     |-   |1   |-   |1     |SCO   |ATT_SCO     |-   |1   |-   |1     |SCO   |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
19    |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
20    |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |ATT_SCO     |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     |IDLE        |-   |-   |-   |-     |-     
