INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
make: 'csim.exe' is up to date.
cycle |h0_phase    |rdy |done|start |op    |h1_phase    |rdy |done|start |op    |h2_phase    |rdy |done|start |op    |h3_phase    |rdy |done|start |op    
0     |Q           |-   |-   |-     |-     |Q           |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
1     |Q           |1   |-   |1     |Q     |Q           |1   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
2     |Q           |-   |-   |-     |-     |Q           |1   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
3     |Q           |-   |-   |-     |-     |Q           |1   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
4     |K           |-   |1   |-     |-     |Q           |1   |-   |1     |Q     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
5     |K           |1   |-   |1     |K     |Q           |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
6     |K           |-   |-   |-     |-     |Q           |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
7     |K           |-   |-   |-     |-     |K           |-   |1   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
8     |K_RQ        |-   |1   |-     |-     |K           |1   |-   |1     |K     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
9     |K_WB        |1   |-   |-     |-     |K           |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
10    |V           |1   |-   |-     |-     |K           |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
11    |V           |1   |-   |1     |V     |K_RQ        |-   |1   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
12    |V           |-   |-   |-     |-     |K_WB        |1   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
13    |V           |-   |-   |-     |-     |V           |1   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
14    |V_RQ        |-   |1   |-     |-     |V           |1   |-   |1     |V     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
15    |V_WB        |1   |-   |-     |-     |V           |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     |IDLE        |-   |-   |-     |-     
