INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_parallel_headed/Simple_Scheduler_tb.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Experiments/simple_parallel_headed/Simple_Scheduler_FSM.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  Busy     | State            AXIS_v     AXIS_r     AXIS_last  | WL_ready WL_start WL_addr  WL_head  WL_tile  | CmpStart   CmpReady   CmpDone    CmpOp
0        0      0      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
1        0      0      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
2        1      1      -        | S_STREAM_IN      -          -          -          | 1        -        -        0        0        | -          1          -          -
3        1      1      1        | S_STREAM_IN      -          1          -          | 1        -        -        0        0        | -          1          -          -
4        0      1      1        | S_STREAM_IN      1          1          -          | 1        -        -        0        0        | -          1          -          -
5        0      1      1        | S_STREAM_IN      1          1          -          | 1        -        -        0        0        | -          1          -          -
6        0      1      1        | S_LAYER_COUNT    1          1          1          | 1        -        -        0        0        | -          1          -          -
7        0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          1          -          -
8        0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | 1          1          -          ATT_SCORES
9        0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          -          -          -
10       0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          -          -          -
11       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          1          -
12       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | 1          1          -          CONCAT
13       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          -          -
14       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          -          -
15       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
16       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       0        | -          1          -          -
17       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
18       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
19       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
20       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
21       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
22       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
23       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
24       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       1        | -          1          -          -
25       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
26       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
27       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
28       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
29       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
30       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
31       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
32       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       2        | -          1          -          -
33       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
34       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
35       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
36       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
37       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
38       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
39       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
40       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       3        | -          1          -          -
