INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/C_testbenches/Scheduler_tb_minimal.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Scheduler_FSM.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/Scheduler_head_helpers.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  Busy     | State            AXIS_v     AXIS_r     AXIS_last  CmpStart   CmpReady   CmpDone    CmpOp        ResBusy    Req                      Grant                   Granting        HeadPhases
0        0      0      -        | S_IDLE           -          -          -          -          1          -          -            -          [-, -, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
1        0      0      -        | S_IDLE           -          -          -          -          1          -          -            -          [-, -, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
2        1      1      -        | S_STREAM_IN      -          -          -          -          1          -          -            -          [-, -, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
3        1      1      1        | S_STREAM_IN      -          1          -          -          1          -          -            -          [-, -, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
4        0      1      1        | S_STREAM_IN      1          1          -          -          1          -          -            -          [-, -, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
5        0      1      1        | S_STREAM_IN      1          1          -          -          1          -          -            -          [-, -, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
6        0      1      1        | S_LAYER_COUNT    1          1          1          -          1          -          -            -          [-, -, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
7        0      1      1        | S_ATT_HEADS      -          -          -          -          1          -          -            -          [-, -, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
8        0      1      1        | S_ATT_HEADS      -          -          -          -          1          -          -            -          [1, 1, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
9        0      1      1        | S_ATT_HEADS      -          -          -          -          1          -          -            -          [1, 1, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [Q, Q, Q, Q, Q, Q, Q, Q]
10       0      1      1        | S_ATT_HEADS      -          -          -          1          1          -          Q            1          [-, 1, -, -, -, -, -, -] [1, -, -, -, -, -, -, -] 1            [Q, Q, Q, Q, Q, Q, Q, Q]
11       0      1      1        | S_ATT_HEADS      -          -          -          -          -          -          -            1          [-, 1, -, -, -, -, -, -] [1, -, -, -, -, -, -, -] 1            [Q, Q, Q, Q, Q, Q, Q, Q]
12       0      1      1        | S_ATT_HEADS      -          -          -          -          -          -          -            1          [-, 1, -, -, -, -, -, -] [1, -, -, -, -, -, -, -] 1            [Q, Q, Q, Q, Q, Q, Q, Q]
13       0      1      1        | S_ATT_HEADS      -          -          -          -          -          1          -            -          [-, 1, -, -, -, -, -, -] [-, -, -, -, -, -, -, -] -            [K, Q, Q, Q, Q, Q, Q, Q]
14       0      1      1        | S_ATT_HEADS      -          -          -          1          1          -          Q            1          [1, -, -, -, -, -, -, -] [-, 1, -, -, -, -, -, -] 1            [K, Q, Q, Q, Q, Q, Q, Q]
