INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_tb.cpp in debug mode
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  Busy     | State            | CmpStart   CmpReady   CmpDone    CmpOp      | Heads{idx:ph/cs/cd/op}
0        0      0      -        | S_IDLE           | -          1          -          -          | 0:IDLE   -  -  -            1:IDLE   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
1        0      0      -        | S_IDLE           | -          1          -          -          | 0:IDLE   -  -  -            1:IDLE   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
2        1      1      -        | S_STREAM_IN      | -          1          -          -          | 0:IDLE   -  -  -            1:IDLE   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
3        1      1      1        | S_STREAM_IN      | -          1          -          -          | 0:IDLE   -  -  -            1:IDLE   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
4        0      1      1        | S_STREAM_IN      | -          1          -          -          | 0:IDLE   -  -  -            1:IDLE   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
5        0      1      1        | S_STREAM_IN      | -          1          -          -          | 0:IDLE   -  -  -            1:IDLE   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
6        0      1      1        | S_LAYER_COUNT    | -          1          -          -          | 0:IDLE   -  -  -            1:IDLE   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
7        0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:IDLE   -  -  -            1:IDLE   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
8        0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:Q      -  -  -            1:Q      -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
9        0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:Q      1  -  Q            1:Q      1  -  Q            2:IDLE   -  -  -            3:IDLE   -  -  -            
10       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:Q      -  -  -            1:Q      -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
11       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:Q      -  -  -            1:Q      -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
12       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:K      -  1  -            1:K      -  1  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
13       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:K      1  -  K            1:K      1  -  K            2:IDLE   -  -  -            3:IDLE   -  -  -            
14       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:K      -  -  -            1:K      -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
15       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:K      -  -  -            1:K      -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
16       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:K_RQ   -  1  -            1:K_RQ   -  1  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
17       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:K_WR   -  -  -            1:K_WR   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
18       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:V      -  -  -            1:V      -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
19       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:V      1  -  V            1:V      1  -  V            2:IDLE   -  -  -            3:IDLE   -  -  -            
20       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:V      -  -  -            1:V      -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
21       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:V      -  -  -            1:V      -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
22       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:V_RQ   -  1  -            1:V_RQ   -  1  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
23       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:V_WR   -  -  -            1:V_WR   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
24       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:Q_RQ   -  -  -            1:Q_RQ   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
25       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:ATT    -  -  -            1:ATT    -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
26       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:ATT    1  -  ATT_SCORES   1:ATT    1  -  ATT_SCORES   2:IDLE   -  -  -            3:IDLE   -  -  -            
27       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:ATT    -  -  -            1:ATT    -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
28       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:ATT    -  -  -            1:ATT    -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
29       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:SCL    -  1  -            1:SCL    -  1  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
30       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:SCL    1  -  VALUE_SCALE  1:SCL    1  -  VALUE_SCALE  2:IDLE   -  -  -            3:IDLE   -  -  -            
31       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:SCL    -  -  -            1:SCL    -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
32       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:SCL    -  -  -            1:SCL    -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
33       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:SMX    -  1  -            1:SMX    -  1  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
34       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:SMX    1  -  SOFTMAX      1:SMX    1  -  SOFTMAX      2:IDLE   -  -  -            3:IDLE   -  -  -            
35       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:SMX    -  -  -            1:SMX    -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
36       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:SMX    -  -  -            1:SMX    -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
37       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:VAL    -  1  -            1:VAL    -  1  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
38       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:VAL    1  -  ATT_VALUE    1:VAL    1  -  ATT_VALUE    2:IDLE   -  -  -            3:IDLE   -  -  -            
39       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:VAL    -  -  -            1:VAL    -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
40       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:VAL    -  -  -            1:VAL    -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
41       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:RQ2    -  1  -            1:RQ2    -  1  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
42       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:DONE   -  -  -            1:DONE   -  -  -            2:IDLE   -  -  -            3:IDLE   -  -  -            
43       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:DONE   -  -  -            1:DONE   -  -  -            2:Q      -  -  -            3:Q      -  -  -            
44       0      1      1        | S_ATT_HEADS      | -          1          -          -          | 0:DONE   -  -  -            1:DONE   -  -  -            2:Q      1  -  Q            3:Q      1  -  Q            
