WARNING: [vitis-run 60-2507] Dispatch failed to load the system diagram library librdi_system_diagram. Diagrams will not be produced.
  **** HLS Build v2025.1 6135595
INFO: [HLS 200-2005] Using work_dir /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls 
INFO: [HLS 200-2176] Writing Vitis IDE component file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls/vitis-comp.json
INFO: [HLS 200-10] Creating and opening component '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls'.
INFO: [HLS 200-1505] Using default flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2025.1%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-2174] Applying component config ini file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.hpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(8)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.hpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(9)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.hpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(10)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.hpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(11)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'tb.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_tb.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(12)
INFO: [HLS 200-10] Adding test bench file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_tb.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.top=scheduler_hls' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(7)
INFO: [HLS 200-1465] Applying config ini 'flow_target=vivado' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(4)
INFO: [HLS 200-1505] Using flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2025.1%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying config ini 'part=xck26-sfvc784-2LV-c' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(1)
INFO: [HLS 200-1611] Setting target device to 'xck26-sfvc784-2LV-c'
INFO: [HLS 200-1465] Applying config ini 'clock=10ns' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(13)
INFO: [SYN 201-201] Setting up clock 'default' with a period of 10ns.
INFO: [HLS 200-1465] Applying config ini 'package.output.format=ip_catalog' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(5)
INFO: [HLS 200-2176] Writing Vitis IDE component file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls/vitis-comp.json
INFO: [SIM 211-2] *************** CSIM start ***************
INFO: [SIM 211-4] CSIM will launch CLANG as the compiler.
INFO: [HLS 200-2036] Building debug C Simulation binaries
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  Busy     | State            AXIS_v     AXIS_r     AXIS_last  | WL_ready WL_start WL_addr  WL_head  WL_tile  | CmpStart   CmpReady   CmpDone    CmpOp
0        0      0      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
1        0      0      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
2        1      1      -        | S_STREAM_IN      -          -          -          | 1        -        -        0        0        | -          1          -          -
3        1      1      1        | S_STREAM_IN      -          1          -          | 1        -        -        0        0        | -          1          -          -
4        0      1      1        | S_STREAM_IN      1          1          -          | 1        -        -        0        0        | -          1          -          -
5        0      1      1        | S_STREAM_IN      1          1          -          | 1        -        -        0        0        | -          1          -          -
6        0      1      1        | S_LAYER_COUNT    1          1          1          | 1        -        -        0        0        | -          1          -          -
7        0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          1          -          -
8        0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | 1          1          -          ATT_SCORES
9        0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          -          -          -
10       0      1      1        | S_ATT_HEADS      -          -          -          | 1        -        -        0        0        | -          -          -          -
11       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          1          -
12       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | 1          1          -          CONCAT
13       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          -          -
14       0      1      1        | S_HEAD_CONCAT    -          -          -          | 1        -        -        0        0        | -          -          -          -
15       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
16       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       0        | -          1          -          -
17       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
18       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
19       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
20       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
21       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
22       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
23       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
24       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       1        | -          1          -          -
25       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
26       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
27       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
28       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
29       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
30       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
31       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
32       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       2        | -          1          -          -
33       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
34       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
35       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
36       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
37       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
38       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
39       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
40       0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       3        | -          1          -          -
41       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
42       0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
43       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
44       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
45       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
46       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
47       0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
48       0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          1          -          -
49       0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | 1          1          -          RESID0
50       0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          -          -          -
51       0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          -          -          -
52       0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          1          -
53       0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | 1          1          -          LN0
54       0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          -          -
55       0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          -          -
56       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
57       0      1      1        | S_FFN            -          -          -          | 1        1        W1       -1       0        | -          1          -          -
58       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
59       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
60       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
61       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
62       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
63       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
64       0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
65       0      1      1        | S_FFN            -          -          -          | 1        1        W1       -1       1        | -          1          -          -
66       0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
