Time resolution is 1 ps
   Cycle  Start  Reset     Busy |            State     AXIS_v     AXIS_r  AXIS_last   CmpStart   CmpReady    CmpDone      CmpOp
       0      -      1        - |           S_IDLE          -          -          -          -          1          - 0
1             1      1        - |      S_STREAM_IN          -          -          -          -          1          - 0
2             1      1        1 |      S_STREAM_IN          -          1          -          -          1          - 0
3             -      1        1 |      S_STREAM_IN          1          1          -          -          1          - 0
4             -      1        1 |      S_STREAM_IN          -          1          -          -          1          - 0
5             -      1        1 |      S_STREAM_IN          1          1          -          -          1          - 0
6             -      1        1 |      S_STREAM_IN          -          1          -          -          1          - 0
7             -      1        1 |    S_LAYER_COUNT          1          1          1          -          1          - 0
8             -      1        1 |      S_ATT_HEADS          -          -          -          -          1          - 0
9             -      1        1 |      S_ATT_HEADS          -          -          -          1          1          - 4
10            -      1        1 |      S_ATT_HEADS          -          -          -          -          1          - 0
11            -      1        1 |      S_ATT_HEADS          -          -          -          -          -          - 0
12            -      1        1 |      S_ATT_HEADS          -          -          -          -          -          - 0
13            -      1        1 |    S_HEAD_CONCAT          -          -          -          -          -          1 0
14            -      1        1 |    S_HEAD_CONCAT          -          -          -          -          -          - 0
15            -      1        1 |    S_HEAD_CONCAT          -          -          -          1          1          - 9
16            -      1        1 |    S_HEAD_CONCAT          -          -          -          -          1          - 0
17            -      1        1 |    S_HEAD_CONCAT          -          -          -          -          -          - 0
18            -      1        1 |    S_HEAD_CONCAT          -          -          -          -          -          - 0
19            -      1        1 |       S_OUT_PROJ          -          -          -          -          -          1 0
20            -      1        1 |       S_OUT_PROJ          -          -          -          -          -          - 0
21            -      1        1 |       S_OUT_PROJ          -          -          -          1          1          - 10
22            -      1        1 |       S_OUT_PROJ          -          -          -          -          1          - 0
23            -      1        1 |       S_OUT_PROJ          -          -          -          -          -          - 0
24            -      1        1 |       S_OUT_PROJ          -          -          -          -          -          - 0
25            -      1        1 |      S_RES_ADD_1          -          -          -          -          -          1 0
26            -      1        1 |      S_RES_ADD_1          -          -          -          -          -          - 0
27            -      1        1 |      S_RES_ADD_1          -          -          -          1          1          - 11
28            -      1        1 |      S_RES_ADD_1          -          -          -          -          1          - 0
29            -      1        1 |      S_RES_ADD_1          -          -          -          -          -          - 0
30            -      1        1 |      S_RES_ADD_1          -          -          -          -          -          - 0
31            -      1        1 |           S_LN_1          -          -          -          -          -          1 0
32            -      1        1 |           S_LN_1          -          -          -          -          -          - 0
33            -      1        1 |           S_LN_1          -          -          -          1          1          - 12
34            -      1        1 |           S_LN_1          -          -          -          -          1          - 0
35            -      1        1 |           S_LN_1          -          -          -          -          -          - 0
36            -      1        1 |           S_LN_1          -          -          -          -          -          - 0
37            -      1        1 |            S_FFN          -          -          -          -          -          1 0
38            -      1        1 |            S_FFN          -          -          -          -          -          - 0
39            -      1        1 |            S_FFN          -          -          -          1          1          - 13
40            -      1        1 |            S_FFN          -          -          -          -          1          - 0
41            -      1        1 |            S_FFN          -          -          -          -          -          - 0
42            -      1        1 |            S_FFN          -          -          -          -          -          - 0
43            -      1        1 |            S_FFN          -          -          -          -          -          1 0
44            -      1        1 |            S_FFN          -          -          -          -          -          - 0
45            -      1        1 |            S_FFN          -          -          -          1          1          - 14
46            -      1        1 |            S_FFN          -          -          -          -          1          - 0
47            -      1        1 |            S_FFN          -          -          -          -          -          - 0
48            -      1        1 |            S_FFN          -          -          -          -          -          - 0
49            -      1        1 |            S_FFN          -          -          -          -          -          1 0
50            -      1        1 |            S_FFN          -          -          -          -          -          - 0
51            -      1        1 |            S_FFN          -          -          -          1          1          - 15
52            -      1        1 |            S_FFN          -          -          -          -          1          - 0
53            -      1        1 |            S_FFN          -          -          -          -          -          - 0
54            -      1        1 |            S_FFN          -          -          -          -          -          - 0
55            -      1        1 |      S_RES_ADD_2          -          -          -          -          -          1 0
56            -      1        1 |      S_RES_ADD_2          -          -          -          -          -          - 0
57            -      1        1 |      S_RES_ADD_2          -          -          -          1          1          - 16
58            -      1        1 |      S_RES_ADD_2          -          -          -          -          1          - 0
59            -      1        1 |      S_RES_ADD_2          -          -          -          -          -          - 0
60            -      1        1 |      S_RES_ADD_2          -          -          -          -          -          - 0
61            -      1        1 |           S_LN_2          -          -          -          -          -          1 0
62            -      1        1 |           S_LN_2          -          -          -          -          -          - 0
63            -      1        1 |           S_LN_2          -          -          -          1          1          - 17
64            -      1        1 |           S_LN_2          -          -          -          -          1          - 0
65            -      1        1 |           S_LN_2          -          -          -          -          -          - 0
66            -      1        1 |           S_LN_2          -          -          -          -          -          - 0
67            -      1        1 |     S_LOOP_CHECK          -          -          -          -          -          1 0
68            -      1        1 |    S_LAYER_COUNT          -          -          -          -          -          - 0
69            -      1        1 |      S_ATT_HEADS          -          -          -          -          1          - 0
70            -      1        1 |      S_ATT_HEADS          -          -          -          1          1          - 4
71            -      1        1 |      S_ATT_HEADS          -          -          -          -          1          - 0
72            -      1        1 |      S_ATT_HEADS          -          -          -          -          -          - 0
73            -      1        1 |      S_ATT_HEADS          -          -          -          -          -          - 0
74            -      1        1 |    S_HEAD_CONCAT          -          -          -          -          -          1 0
75            -      1        1 |    S_HEAD_CONCAT          -          -          -          -          -          - 0
76            -      1        1 |    S_HEAD_CONCAT          -          -          -          1          1          - 9
77            -      1        1 |    S_HEAD_CONCAT          -          -          -          -          1          - 0
78            -      1        1 |    S_HEAD_CONCAT          -          -          -          -          -          - 0
