Time resolution is 1 ps
   Cycle  Start  Reset     Busy |        State | AXIS_v AXIS_r AXIS_last | WL_rdy WL_strt  WL_addr WL_head WL_tile |  CmpStrt   CmpRdy  CmpDone  CmpOp
       0      -      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
1             1      1        - |  S_STREAM_IN |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
2             1      1        1 |  S_STREAM_IN |      -      1        - |      1      -     NONE      0      0 |        -        1        -      0
3             -      1        1 |  S_STREAM_IN |      1      1        - |      1      -     NONE      0      0 |        -        1        -      0
4             -      1        1 |  S_STREAM_IN |      -      1        - |      1      -     NONE      0      0 |        -        1        -      0
5             -      1        1 |  S_STREAM_IN |      1      1        - |      1      -     NONE      0      0 |        -        1        -      0
6             -      1        1 |  S_STREAM_IN |      -      1        - |      1      -     NONE      0      0 |        -        1        -      0
7             -      1        1 | S_LAYER_COUNT |      1      1        1 |      1      -     NONE      0      0 |        -        1        -      0
8             -      1        1 |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
9             -      1        1 |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        1        1        - 4     
10            -      1        1 |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
11            -      1        1 |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
12            -      1        1 |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
13            -      1        1 | S_HEAD_CONCAT |      -      -        - |      1      -     NONE      0      0 |        -        -        1      0
14            -      1        1 | S_HEAD_CONCAT |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
15            -      1        1 | S_HEAD_CONCAT |      -      -        - |      1      -     NONE      0      0 |        1        1        - 9     
16            -      1        1 | S_HEAD_CONCAT |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
17            -      1        1 | S_HEAD_CONCAT |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
18            -      1        1 | S_HEAD_CONCAT |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
19            -      1        1 |   S_OUT_PROJ |      -      -        - |      1      -     NONE      0      0 |        -        -        1      0
20            -      1        1 |   S_OUT_PROJ |      -      -        - |      1      1     V_WR 4294967295      0 |        -        -        -      0
21            -      1        1 |   S_OUT_PROJ |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
22            -      1        1 |   S_OUT_PROJ |      -      -        - |      -      -     NONE      0      0 |        -        1        -      0
